Rank,Player_Name,Country_Code,Total_Matches,Win-Loss,Win-Loss_Percentage,Service_Points_Won_Percentage,Ace_Rate_Percentage,Double_Fault_Rate,First_Serves_In_Percentage,First_Serve_Points_Won_Percentage,Second_Serve_Points_Won_Percentage,Service_Games_Won_Percentage,Points_Per_Service_Game,Points_Lost_Per_Service_Game
91,Adam Walton,AUS,22,7-15,31.8%,64.5%,8.4%,2.7%,64.9%,71.9%,50.7%,80.6%,6.2,2.2
92,James Duckworth,AUS,20,5-15,25.0%,63.0%,7.2%,3.4%,58.7%,71.3%,51.3%,80.5%,6.5,2.4
93,Reilly Opelka,USA,35,18-17,51.4%,69.1%,20.9%,4.3%,64.3%,79.0%,51.2%,88.7%,6.3,2.0
94,Chun Hsin Tseng,TPE,14,4-10,28.6%,61.1%,4.7%,2.2%,57.9%,67.0%,52.9%,74.8%,6.6,2.6
95,Luca Nardi,ITA,21,6-15,28.6%,56.7%,3.4%,5.5%,58.6%,66.5%,42.8%,66.8%,7.0,3.0
96,Kamil Majchrzak,POL,8,4-4,50.0%,67.2%,6.2%,2.1%,64.7%,74.6%,53.6%,82.2%,5.9,1.9
97,Mariano Navone,ARG,46,16-30,34.8%,59.8%,3.6%,2.9%,63.4%,65.1%,50.7%,72.2%,6.6,2.7
98,Mackenzie Mcdonald,USA,20,9-11,45.0%,61.3%,5.4%,2.9%,65.3%,66.0%,52.3%,74.6%,6.4,2.5
99,Pablo Carreno Busta,ESP,26,11-15,42.3%,64.4%,4.8%,3.0%,64.4%,70.6%,53.2%,79.9%,6.3,2.2
100,Nishesh Basavareddy,USA,12,4-8,33.3%,62.3%,6.0%,3.3%,61.2%,71.5%,47.8%,77.2%,6.3,2.4
